Pokedex Number,Base Pokemon,Variant Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Mega,Paradox,Legendary,Pseudo-legendary,Ultrabeast,Regional Form,Mythical,img_name
167,Spinarak,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,False,False,False,False,False,False,0167_Spinarak.png
168,Ariados,Ariados,Bug,Poison,400,70,90,70,60,70,40,2,False,False,False,False,False,False,False,0168_Ariados.png
169,Crobat,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,False,False,False,False,False,False,0169_Crobat.png
170,Chinchou,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,False,False,False,False,False,False,0170_Chinchou.png
171,Lanturn,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,False,False,False,False,False,False,0171_Lanturn.png
172,Pichu,Pichu,Electric,,205,20,40,15,35,35,60,2,False,False,False,False,False,False,False,0172_Pichu.png
173,Cleffa,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False,False,False,False,False,False,False,0173_Cleffa.png
174,Igglybuff,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,False,False,False,False,False,False,0174_Igglybuff.png
175,Togepi,Togepi,Fairy,,245,35,20,65,40,65,20,2,False,False,False,False,False,False,False,0175_Togepi.png
176,Togetic,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,False,False,False,False,False,False,0176_Togetic.png
177,Natu,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,False,False,False,False,False,False,0177_Natu.png
178,Xatu,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,False,False,False,False,False,False,0178_Xatu.png
179,Mareep,Mareep,Electric,,280,55,40,40,65,45,35,2,False,False,False,False,False,False,False,0179_Mareep.png
180,Flaaffy,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False,False,False,False,False,False,False,0180_Flaaffy.png
181,Ampharos,Ampharos,Electric,,510,90,75,85,115,90,55,2,False,False,False,False,False,False,False,0181_Ampharos.png
181,Ampharos,Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,True,False,False,False,False,False,False,0181_Mega Ampharos.png
182,Bellossom,Bellossom,Grass,,490,75,80,95,90,100,50,2,False,False,False,False,False,False,False,0182_Bellossom.png
183,Marill,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,False,False,False,False,False,False,0183_Marill.png
184,Azumarill,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,False,False,False,False,False,False,0184_Azumarill.png
185,Sudowoodo,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False,False,False,False,False,False,False,0185_Sudowoodo.png
186,Politoed,Politoed,Water,,500,90,75,75,90,100,70,2,False,False,False,False,False,False,False,0186_Politoed.png
187,Hoppip,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,False,False,False,False,False,False,0187_Hoppip.png
188,Skiploom,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,False,False,False,False,False,False,0188_Skiploom.png
189,Jumpluff,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,False,False,False,False,False,False,0189_Jumpluff.png
190,Aipom,Aipom,Normal,,360,55,70,55,40,55,85,2,False,False,False,False,False,False,False,0190_Aipom.png
191,Sunkern,Sunkern,Grass,,180,30,30,30,30,30,30,2,False,False,False,False,False,False,False,0191_Sunkern.png
192,Sunflora,Sunflora,Grass,,425,75,75,55,105,85,30,2,False,False,False,False,False,False,False,0192_Sunflora.png
193,Yanma,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,False,False,False,False,False,False,0193_Yanma.png
194,Wooper,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,False,False,False,False,False,False,0194_Wooper.png
194,Wooper,Paldean Wooper,Poison,Ground,210,55,45,45,25,25,15,2,False,False,False,False,False,True,False,0194_Paldean Wooper.png
195,Quagsire,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,False,False,False,False,False,False,0195_Quagsire.png
196,Espeon,Espeon,Psychic,,525,65,65,60,130,95,110,2,False,False,False,False,False,False,False,0196_Espeon.png
197,Umbreon,Umbreon,Dark,,525,95,65,110,60,130,65,2,False,False,False,False,False,False,False,0197_Umbreon.png
198,Murkrow,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,False,False,False,False,False,False,0198_Murkrow.png
199,Slowking,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,False,False,False,False,False,False,0199_Slowking.png
199,Slowking,Galarian Slowking,Poison,Psychic,490,95,65,80,110,110,30,2,False,False,False,False,False,True,False,0199_Galarian Slowking.png
200,Misdreavus,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False,False,False,False,False,False,False,0200_Misdreavus.png
201,Unown,Unown,Psychic,,336,48,72,48,72,48,48,2,False,False,False,False,False,False,False,0201_Unown.png
202,Wobbuffet,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False,False,False,False,False,False,False,0202_Wobbuffet.png
203,Girafarig,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,False,False,False,False,False,False,0203_Girafarig.png
204,Pineco,Pineco,Bug,,290,50,65,90,35,35,15,2,False,False,False,False,False,False,False,0204_Pineco.png
205,Forretress,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,False,False,False,False,False,False,0205_Forretress.png
206,Dunsparce,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False,False,False,False,False,False,False,0206_Dunsparce.png
207,Gligar,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,False,False,False,False,False,False,0207_Gligar.png
208,Steelix,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,False,False,False,False,False,False,0208_Steelix.png
208,Steelix,Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,True,False,False,False,False,False,False,0208_Mega Steelix.png
209,Snubbull,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False,False,False,False,False,False,False,0209_Snubbull.png
210,Granbull,Granbull,Fairy,,450,90,120,75,60,60,45,2,False,False,False,False,False,False,False,0210_Granbull.png
211,Qwilfish,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,False,False,False,False,False,False,0211_Qwilfish.png
211,Qwilfish,Hisuian Qwilfish,Dark,Poison,440,65,95,85,55,55,85,2,False,False,False,False,False,True,False,0211_Hisuian Qwilfish.png
212,Scizor,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,False,False,False,False,False,False,0212_Scizor.png
212,Scizor,Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,True,False,False,False,False,False,False,0212_Mega Scizor.png
213,Shuckle,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,False,False,False,False,False,False,0213_Shuckle.png
214,Heracross,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,False,False,False,False,False,False,0214_Heracross.png
214,Heracross,Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,True,False,False,False,False,False,False,0214_Mega Heracross.png
215,Sneasel,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,False,False,False,False,False,False,0215_Sneasel.png
215,Sneasel,Hisuian Sneasel,Fighting,Poison,430,55,95,55,35,75,115,2,False,False,False,False,False,True,False,0215_Hisuian Sneasel.png
216,Teddiursa,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False,False,False,False,False,False,False,0216_Teddiursa.png
217,Ursaring,Ursaring,Normal,,500,90,130,75,75,75,55,2,False,False,False,False,False,False,False,0217_Ursaring.png
218,Slugma,Slugma,Fire,,250,40,40,40,70,40,20,2,False,False,False,False,False,False,False,0218_Slugma.png
219,Magcargo,Magcargo,Fire,Rock,430,60,50,120,90,80,30,2,False,False,False,False,False,False,False,0219_Magcargo.png
220,Swinub,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,False,False,False,False,False,False,0220_Swinub.png
221,Piloswine,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,False,False,False,False,False,False,0221_Piloswine.png
222,Corsola,Corsola,Water,Rock,410,65,55,95,65,95,35,2,False,False,False,False,False,False,False,0222_Corsola.png
222,Corsola,Galarian Corsola,Ghost,,410,60,55,100,65,100,30,2,False,False,False,False,False,True,False,0222_Galarian Corsola.png
223,Remoraid,Remoraid,Water,,300,35,65,35,65,35,65,2,False,False,False,False,False,False,False,0223_Remoraid.png
224,Octillery,Octillery,Water,,480,75,105,75,105,75,45,2,False,False,False,False,False,False,False,0224_Octillery.png
225,Delibird,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,False,False,False,False,False,False,0225_Delibird.png
226,Mantine,Mantine,Water,Flying,485,85,40,70,80,140,70,2,False,False,False,False,False,False,False,0226_Mantine.png
227,Skarmory,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,False,False,False,False,False,False,0227_Skarmory.png
228,Houndour,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,False,False,False,False,False,False,0228_Houndour.png
229,Houndoom,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,False,False,False,False,False,False,0229_Houndoom.png
229,Houndoom,Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,True,False,False,False,False,False,False,0229_Mega Houndoom.png
230,Kingdra,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,False,False,False,False,False,False,0230_Kingdra.png
231,Phanpy,Phanpy,Ground,,330,90,60,60,40,40,40,2,False,False,False,False,False,False,False,0231_Phanpy.png
232,Donphan,Donphan,Ground,,500,90,120,120,60,60,50,2,False,False,False,False,False,False,False,0232_Donphan.png
233,Porygon2,Porygon2,Normal,,515,85,80,90,105,95,60,2,False,False,False,False,False,False,False,0233_Porygon2.png
234,Stantler,Stantler,Normal,,465,73,95,62,85,65,85,2,False,False,False,False,False,False,False,0234_Stantler.png
235,Smeargle,Smeargle,Normal,,250,55,20,35,20,45,75,2,False,False,False,False,False,False,False,0235_Smeargle.png
236,Tyrogue,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False,False,False,False,False,False,False,0236_Tyrogue.png
237,Hitmontop,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False,False,False,False,False,False,False,0237_Hitmontop.png
238,Smoochum,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,False,False,False,False,False,False,0238_Smoochum.png
239,Elekid,Elekid,Electric,,360,45,63,37,65,55,95,2,False,False,False,False,False,False,False,0239_Elekid.png
240,Magby,Magby,Fire,,365,45,75,37,70,55,83,2,False,False,False,False,False,False,False,0240_Magby.png
241,Miltank,Miltank,Normal,,490,95,80,105,40,70,100,2,False,False,False,False,False,False,False,0241_Miltank.png
242,Blissey,Blissey,Normal,,540,255,10,10,75,135,55,2,False,False,False,False,False,False,False,0242_Blissey.png
243,Raikou,Raikou,Electric,,580,90,85,75,115,100,115,2,False,False,True,False,False,False,False,0243_Raikou.png
244,Entei,Entei,Fire,,580,115,115,85,90,75,100,2,False,False,True,False,False,False,False,0244_Entei.png
245,Suicune,Suicune,Water,,580,100,75,115,90,115,85,2,False,False,True,False,False,False,False,0245_Suicune.png
246,Larvitar,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,False,False,False,False,False,False,0246_Larvitar.png
247,Pupitar,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,False,False,False,False,False,False,0247_Pupitar.png
248,Tyranitar,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,False,False,True,False,False,False,0248_Tyranitar.png
248,Tyranitar,Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,True,False,False,True,False,False,False,0248_Mega Tyranitar.png
249,Lugia,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,False,False,True,False,False,False,False,0249_Lugia.png
250,Ho-Oh,Ho-Oh,Fire,Flying,680,106,130,90,110,154,90,2,False,False,True,False,False,False,False,0250_Ho-Oh.png
251,Celebi,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,False,False,False,False,False,True,0251_Celebi.png
252,Treecko,Treecko,Grass,,310,40,45,35,65,55,70,3,False,False,False,False,False,False,False,0252_Treecko.png
253,Grovyle,Grovyle,Grass,,405,50,65,45,85,65,95,3,False,False,False,False,False,False,False,0253_Grovyle.png
254,Sceptile,Sceptile,Grass,,530,70,85,65,105,85,120,3,False,False,False,False,False,False,False,0254_Sceptile.png
254,Sceptile,Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,True,False,False,False,False,False,False,0254_Mega Sceptile.png
255,Torchic,Torchic,Fire,,310,45,60,40,70,50,45,3,False,False,False,False,False,False,False,0255_Torchic.png
256,Combusken,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,False,False,False,False,False,False,0256_Combusken.png
257,Blaziken,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,False,False,False,False,False,False,0257_Blaziken.png
257,Blaziken,Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,True,False,False,False,False,False,False,0257_Mega Blaziken.png
258,Mudkip,Mudkip,Water,,310,50,70,50,50,50,40,3,False,False,False,False,False,False,False,0258_Mudkip.png
259,Marshtomp,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,False,False,False,False,False,False,0259_Marshtomp.png
260,Swampert,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,False,False,False,False,False,False,0260_Swampert.png
260,Swampert,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,3,True,False,False,False,False,False,False,0260_Mega Swampert.png
261,Poochyena,Poochyena,Dark,,220,35,55,35,30,30,35,3,False,False,False,False,False,False,False,0261_Poochyena.png
262,Mightyena,Mightyena,Dark,,420,70,90,70,60,60,70,3,False,False,False,False,False,False,False,0262_Mightyena.png
263,Zigzagoon,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False,False,False,False,False,False,False,0263_Zigzagoon.png
263,Zigzagoon,Galarian Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,3,False,False,False,False,False,True,False,0263_Galarian Zigzagoon.png
264,Linoone,Linoone,Normal,,420,78,70,61,50,61,100,3,False,False,False,False,False,False,False,0264_Linoone.png
264,Linoone,Galarian Linoone,Dark,Normal,420,78,70,61,50,61,100,3,False,False,False,False,False,True,False,0264_Galarian Linoone.png
265,Wurmple,Wurmple,Bug,,195,45,45,35,20,30,20,3,False,False,False,False,False,False,False,0265_Wurmple.png
266,Silcoon,Silcoon,Bug,,205,50,35,55,25,25,15,3,False,False,False,False,False,False,False,0266_Silcoon.png
267,Beautifly,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,False,False,False,False,False,False,0267_Beautifly.png
268,Cascoon,Cascoon,Bug,,205,50,35,55,25,25,15,3,False,False,False,False,False,False,False,0268_Cascoon.png
269,Dustox,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,False,False,False,False,False,False,0269_Dustox.png
270,Lotad,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,False,False,False,False,False,False,0270_Lotad.png
271,Lombre,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,False,False,False,False,False,False,0271_Lombre.png
272,Ludicolo,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,False,False,False,False,False,False,0272_Ludicolo.png
273,Seedot,Seedot,Grass,,220,40,40,50,30,30,30,3,False,False,False,False,False,False,False,0273_Seedot.png
274,Nuzleaf,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,False,False,False,False,False,False,0274_Nuzleaf.png
275,Shiftry,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,False,False,False,False,False,False,0275_Shiftry.png
276,Taillow,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,False,False,False,False,False,False,0276_Taillow.png
277,Swellow,Swellow,Normal,Flying,455,60,85,60,75,50,125,3,False,False,False,False,False,False,False,0277_Swellow.png
278,Wingull,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,False,False,False,False,False,False,0278_Wingull.png
279,Pelipper,Pelipper,Water,Flying,440,60,50,100,95,70,65,3,False,False,False,False,False,False,False,0279_Pelipper.png
280,Ralts,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,False,False,False,False,False,False,0280_Ralts.png
281,Kirlia,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,False,False,False,False,False,False,0281_Kirlia.png
282,Gardevoir,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,False,False,False,False,False,False,0282_Gardevoir.png
282,Gardevoir,Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,True,False,False,False,False,False,False,0282_Mega Gardevoir.png
283,Surskit,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,False,False,False,False,False,False,0283_Surskit.png
284,Masquerain,Masquerain,Bug,Flying,454,70,60,62,100,82,80,3,False,False,False,False,False,False,False,0284_Masquerain.png
285,Shroomish,Shroomish,Grass,,295,60,40,60,40,60,35,3,False,False,False,False,False,False,False,0285_Shroomish.png
286,Breloom,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,False,False,False,False,False,False,0286_Breloom.png
287,Slakoth,Slakoth,Normal,,280,60,60,60,35,35,30,3,False,False,False,False,False,False,False,0287_Slakoth.png
288,Vigoroth,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False,False,False,False,False,False,False,0288_Vigoroth.png
289,Slaking,Slaking,Normal,,670,150,160,100,95,65,100,3,False,False,False,False,False,False,False,0289_Slaking.png
290,Nincada,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,False,False,False,False,False,False,0290_Nincada.png
291,Ninjask,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,False,False,False,False,False,False,0291_Ninjask.png
292,Shedinja,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,False,False,False,False,False,False,0292_Shedinja.png
293,Whismur,Whismur,Normal,,240,64,51,23,51,23,28,3,False,False,False,False,False,False,False,0293_Whismur.png
294,Loudred,Loudred,Normal,,360,84,71,43,71,43,48,3,False,False,False,False,False,False,False,0294_Loudred.png
295,Exploud,Exploud,Normal,,490,104,91,63,91,73,68,3,False,False,False,False,False,False,False,0295_Exploud.png
296,Makuhita,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False,False,False,False,False,False,False,0296_Makuhita.png
297,Hariyama,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False,False,False,False,False,False,False,0297_Hariyama.png
298,Azurill,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,False,False,False,False,False,False,0298_Azurill.png
299,Nosepass,Nosepass,Rock,,375,30,45,135,45,90,30,3,False,False,False,False,False,False,False,0299_Nosepass.png
300,Skitty,Skitty,Normal,,260,50,45,45,35,35,50,3,False,False,False,False,False,False,False,0300_Skitty.png
301,Delcatty,Delcatty,Normal,,400,70,65,65,55,55,90,3,False,False,False,False,False,False,False,0301_Delcatty.png
302,Sableye,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,False,False,False,False,False,False,0302_Sableye.png
302,Sableye,Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,True,False,False,False,False,False,False,0302_Mega Sableye.png
303,Mawile,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False,False,False,False,False,False,False,0303_Mawile.png
303,Mawile,Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,True,False,False,False,False,False,False,0303_Mega Mawile.png
304,Aron,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False,False,False,False,False,False,False,0304_Aron.png
305,Lairon,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False,False,False,False,False,False,False,0305_Lairon.png
306,Aggron,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False,False,False,False,False,False,False,0306_Aggron.png
306,Aggron,Mega Aggron,Steel,,630,70,140,230,60,80,50,3,True,False,False,False,False,False,False,0306_Mega Aggron.png
307,Meditite,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,False,False,False,False,False,False,0307_Meditite.png
308,Medicham,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,False,False,False,False,False,False,0308_Medicham.png
308,Medicham,Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,True,False,False,False,False,False,False,0308_Mega Medicham.png
309,Electrike,Electrike,Electric,,295,40,45,40,65,40,65,3,False,False,False,False,False,False,False,0309_Electrike.png
310,Manectric,Manectric,Electric,,475,70,75,60,105,60,105,3,False,False,False,False,False,False,False,0310_Manectric.png
310,Manectric,Mega Manectric,Electric,,575,70,75,80,135,80,135,3,True,False,False,False,False,False,False,0310_Mega Manectric.png
311,Plusle,Plusle,Electric,,405,60,50,40,85,75,95,3,False,False,False,False,False,False,False,0311_Plusle.png
312,Minun,Minun,Electric,,405,60,40,50,75,85,95,3,False,False,False,False,False,False,False,0312_Minun.png
313,Volbeat,Volbeat,Bug,,430,65,73,75,47,85,85,3,False,False,False,False,False,False,False,0313_Volbeat.png
314,Illumise,Illumise,Bug,,430,65,47,75,73,85,85,3,False,False,False,False,False,False,False,0314_Illumise.png
315,Roselia,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False,False,False,False,False,False,False,0315_Roselia.png
316,Gulpin,Gulpin,Poison,,302,70,43,53,43,53,40,3,False,False,False,False,False,False,False,0316_Gulpin.png
317,Swalot,Swalot,Poison,,467,100,73,83,73,83,55,3,False,False,False,False,False,False,False,0317_Swalot.png
318,Carvanha,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,False,False,False,False,False,False,0318_Carvanha.png
319,Sharpedo,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,False,False,False,False,False,False,0319_Sharpedo.png
319,Sharpedo,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,True,False,False,False,False,False,False,0319_Mega Sharpedo.png
320,Wailmer,Wailmer,Water,,400,130,70,35,70,35,60,3,False,False,False,False,False,False,False,0320_Wailmer.png
321,Wailord,Wailord,Water,,500,170,90,45,90,45,60,3,False,False,False,False,False,False,False,0321_Wailord.png
322,Numel,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False,False,False,False,False,False,False,0322_Numel.png
323,Camerupt,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False,False,False,False,False,False,False,0323_Camerupt.png
323,Camerupt,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,True,False,False,False,False,False,False,0323_Mega Camerupt.png
324,Torkoal,Torkoal,Fire,,470,70,85,140,85,70,20,3,False,False,False,False,False,False,False,0324_Torkoal.png
325,Spoink,Spoink,Psychic,,330,60,25,35,70,80,60,3,False,False,False,False,False,False,False,0325_Spoink.png
326,Grumpig,Grumpig,Psychic,,470,80,45,65,90,110,80,3,False,False,False,False,False,False,False,0326_Grumpig.png
327,Spinda,Spinda,Normal,,360,60,60,60,60,60,60,3,False,False,False,False,False,False,False,0327_Spinda.png
328,Trapinch,Trapinch,Ground,,290,45,100,45,45,45,10,3,False,False,False,False,False,False,False,0328_Trapinch.png
329,Vibrava,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False,False,False,False,False,False,False,0329_Vibrava.png
330,Flygon,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False,False,False,False,False,False,False,0330_Flygon.png
331,Cacnea,Cacnea,Grass,,335,50,85,40,85,40,35,3,False,False,False,False,False,False,False,0331_Cacnea.png
332,Cacturne,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False,False,False,False,False,False,False,0332_Cacturne.png
333,Swablu,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False,False,False,False,False,False,False,0333_Swablu.png
334,Altaria,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False,False,False,False,False,False,False,0334_Altaria.png
334,Altaria,Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,True,False,False,False,False,False,False,0334_Mega Altaria.png
335,Zangoose,Zangoose,Normal,,458,73,115,60,60,60,90,3,False,False,False,False,False,False,False,0335_Zangoose.png
336,Seviper,Seviper,Poison,,458,73,100,60,100,60,65,3,False,False,False,False,False,False,False,0336_Seviper.png
337,Lunatone,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,3,False,False,False,False,False,False,False,0337_Lunatone.png
338,Solrock,Solrock,Rock,Psychic,460,90,95,85,55,65,70,3,False,False,False,False,False,False,False,0338_Solrock.png
339,Barboach,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,False,False,False,False,False,False,0339_Barboach.png
340,Whiscash,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,False,False,False,False,False,False,0340_Whiscash.png
341,Corphish,Corphish,Water,,308,43,80,65,50,35,35,3,False,False,False,False,False,False,False,0341_Corphish.png
342,Crawdaunt,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,False,False,False,False,False,False,0342_Crawdaunt.png
343,Baltoy,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False,False,False,False,False,False,False,0343_Baltoy.png
344,Claydol,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False,False,False,False,False,False,False,0344_Claydol.png
345,Lileep,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False,False,False,False,False,False,False,0345_Lileep.png
346,Cradily,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False,False,False,False,False,False,False,0346_Cradily.png
347,Anorith,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False,False,False,False,False,False,False,0347_Anorith.png
348,Armaldo,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False,False,False,False,False,False,False,0348_Armaldo.png
349,Feebas,Feebas,Water,,200,20,15,20,10,55,80,3,False,False,False,False,False,False,False,0349_Feebas.png
350,Milotic,Milotic,Water,,540,95,60,79,100,125,81,3,False,False,False,False,False,False,False,0350_Milotic.png
351,Castform,Castform Normal,Normal,,420,70,70,70,70,70,70,3,False,False,False,False,False,False,False,0351_Castform Normal.png
351,Castform,Castform Sunny Form,Fire,,420,70,70,70,70,70,70,3,False,False,False,False,False,False,False,0351_Castform Sunny Form.png
351,Castform,Castform Rainy Form,Water,,420,70,70,70,70,70,70,3,False,False,False,False,False,False,False,0351_Castform Rainy Form.png
351,Castform,Castform Snowy Form,Ice,,420,70,70,70,70,70,70,3,False,False,False,False,False,False,False,0351_Castform Snowy Form.png
352,Kecleon,Kecleon,Normal,,440,60,90,70,60,120,40,3,False,False,False,False,False,False,False,0352_Kecleon.png
353,Shuppet,Shuppet,Ghost,,295,44,75,35,63,33,45,3,False,False,False,False,False,False,False,0353_Shuppet.png
354,Banette,Banette,Ghost,,455,64,115,65,83,63,65,3,False,False,False,False,False,False,False,0354_Banette.png
354,Banette,Mega Banette,Ghost,,555,64,165,75,93,83,75,3,True,False,False,False,False,False,False,0354_Mega Banette.png
355,Duskull,Duskull,Ghost,,295,20,40,90,30,90,25,3,False,False,False,False,False,False,False,0355_Duskull.png
356,Dusclops,Dusclops,Ghost,,455,40,70,130,60,130,25,3,False,False,False,False,False,False,False,0356_Dusclops.png
357,Tropius,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False,False,False,False,False,False,False,0357_Tropius.png
358,Chimecho,Chimecho,Psychic,,455,75,50,80,95,90,65,3,False,False,False,False,False,False,False,0358_Chimecho.png
359,Absol,Absol,Dark,,465,65,130,60,75,60,75,3,False,False,False,False,False,False,False,0359_Absol.png
359,Absol,Mega Absol,Dark,,565,65,150,60,115,60,115,3,True,False,False,False,False,False,False,0359_Mega Absol.png
360,Wynaut,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False,False,False,False,False,False,False,0360_Wynaut.png
361,Snorunt,Snorunt,Ice,,300,50,50,50,50,50,50,3,False,False,False,False,False,False,False,0361_Snorunt.png
362,Glalie,Glalie,Ice,,480,80,80,80,80,80,80,3,False,False,False,False,False,False,False,0362_Glalie.png
